dataset,reported_as,noise_type,noise_rate,graph_beta,seed,method,topk_precision,topk_recall,precision_at_budget,alert_compression_at_full_recall,compression_at_recall_90,compression_at_recall_95
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,1.0,0.012884937508053087,0.9993560849967804,0.5000322102686336,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,1.0,0.012884937508053087,0.9993560849967804,0.8884880499903369,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,0,ablation_hard,1.0,0.012884937508053087,0.9993560849967804,0.5000322102686336,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.99,0.012756088132972555,0.9993560849967804,0.598080267989435,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.99,0.012756088132972555,0.9987121699935608,0.7048250982413193,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,0,CoLD,0.99,0.012756088132972555,0.9987121699935608,0.9331959028538298,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,0,ablation_hard,0.99,0.012756088132972555,0.9987121699935608,0.9331959028538298,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Confident-Learning,0.92,0.011854142507408839,0.927237604636188,0.9994202151645944,0.48289634735553694,0.5102750756941313
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,Graph-CoLD,1.0,0.012884937508053087,0.9993560849967804,0.7990079237260839,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,CoLD,1.0,0.012884937508053087,0.9993560849967804,0.888745732139406,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,ablation_hard,1.0,0.012884937508053087,0.9993560849967804,0.888745732139406,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,0,Confident-Learning,1.0,0.012884937508053087,1.0,0.9998711589254654,0.6574115828126007,0.8334729111640791
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,Graph-CoLD,0.99,0.012756088132972555,0.9993560849967804,0.7039876312568447,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,CoLD,0.99,0.012756088132972555,0.9993560849967804,0.9339045287637698,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,ablation_hard,0.99,0.012756088132972555,0.9993560849967804,0.9339045287637698,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,0,Confident-Learning,0.89,0.011467594382167247,0.8647778493238892,1.0,0.518005540166205,0.6491657540423887
cicids2017,CICIDS-2017,clean,0.0,none,1,Graph-CoLD,1.0,0.012883277505797475,1.0,0.5085357211879147,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,clean,0.0,none,1,CoLD,1.0,0.012883277505797475,1.0,0.8873284803195258,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,clean,0.0,none,1,ablation_hard,1.0,0.012883277505797475,1.0,0.5085357211879147,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,clean,0.0,none,1,Confident-Learning,1.0,0.012883277505797475,1.0,0.9540037363911615,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,1,Graph-CoLD,1.0,0.012883277505797475,1.0,0.503317657669265,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,symmetric,0.4,none,1,CoLD,1.0,0.012883277505797475,1.0,0.6568317979771952,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,symmetric,0.4,none,1,ablation_hard,1.0,0.012883277505797475,1.0,0.6568317979771952,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,symmetric,0.4,none,1,Confident-Learning,0.72,0.009275959804174182,0.7160334835801674,0.9998067383881981,0.8739290085679314,0.9336468466147008
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,Graph-CoLD,1.0,0.012883277505797475,1.0,0.9285576241705856,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,CoLD,1.0,0.012883277505797475,1.0,0.9285576241705856,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,ablation_hard,1.0,0.012883277505797475,1.0,0.9285576241705856,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,asymmetric,0.4,none,1,Confident-Learning,1.0,0.012883277505797475,1.0,1.0,0.7009598660052825,0.8407524318752818
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,Graph-CoLD,1.0,0.012883277505797475,0.9993560849967804,0.7093989563872962,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,CoLD,1.0,0.012883277505797475,0.9993560849967804,0.7093989563872962,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,ablation_hard,1.0,0.012883277505797475,0.9993560849967804,0.7093989563872962,0.4501707144237583,0.47516588288346323
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,1,Confident-Learning,0.94,0.012110280855449627,0.9523502897617514,0.9993557946273272,0.7198350834245958,0.852734651806996
cicids2017,CICIDS-2017,clean,0.0,none,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.8566643045803002,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,2,CoLD,1.0,0.012884937508053087,1.0,0.8909360304064936,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,2,ablation_hard,1.0,0.012884937508053087,1.0,0.8566643045803002,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,clean,0.0,none,2,Confident-Learning,1.0,0.012884937508053087,1.0,0.8952522064034014,0.44997745281195645,0.4749726212716614
cicids2017,CICIDS-2017,symmetric,0.4,none,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.9140630032854474,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,2,CoLD,1.0,0.012884937508053087,1.0,0.9340333698383044,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,2,ablation_hard,1.0,0.012884937508053087,1.0,0.9340333698383044,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,symmetric,0.4,none,2,Confident-Learning,0.71,0.00914830563071769,0.7759175788795879,0.9994846357018617,0.5796559943309927,0.6349288153063196
cicids2017,CICIDS-2017,asymmetric,0.4,none,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.8913225536300973,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,2,CoLD,1.0,0.012884937508053087,1.0,0.8571152483411711,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,2,ablation_hard,1.0,0.012884937508053087,1.0,0.8913225536300973,0.45004187334922374,0.4750370418089287
cicids2017,CICIDS-2017,asymmetric,0.4,none,2,Confident-Learning,1.0,0.012884937508053087,1.0,0.999549056239129,0.5799780970173292,0.7899890485086646
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,2,Graph-CoLD,1.0,0.012884937508053087,1.0,0.9136764800618438,0.45010629388649104,0.475101462346196
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,2,CoLD,1.0,0.012884937508053087,1.0,0.9141274238227147,0.44997745281195645,0.4749726212716614
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,2,ablation_hard,1.0,0.012884937508053087,1.0,0.9141274238227147,0.44997745281195645,0.4749726212716614
cicids2017,CICIDS-2017,graph_consistency,0.4,0.6,2,Confident-Learning,0.97,0.012498389382811493,0.9414037347070187,0.8886813116021388,0.4742639953617213,0.5006119951040392
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,0,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9729243353783231,0.8756646216768916,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,0,CoLD,1.0,0.008409014463504878,1.0,0.9730061349693252,0.8757464212678937,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,0,ablation_hard,1.0,0.008409014463504878,1.0,0.9729243353783231,0.8756646216768916,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,0,Confident-Learning,1.0,0.008409014463504878,1.0,0.9730879345603272,0.8755010224948875,0.9241717791411043
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,0,Graph-CoLD,1.0,0.008409014463504878,0.9983646770237122,0.9730879345603272,0.8758282208588957,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,0,CoLD,1.0,0.008409014463504878,0.9983646770237122,0.9730061349693252,0.8757464212678937,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,0,ablation_hard,1.0,0.008409014463504878,0.9983646770237122,0.9730879345603272,0.8758282208588957,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,0,Confident-Learning,1.0,0.008409014463504878,1.0,0.994519427402863,0.8755010224948875,0.9241717791411043
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,0,Graph-CoLD,1.0,0.008409014463504878,0.9991823385118561,0.9731697341513292,0.8759100204498977,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,0,CoLD,1.0,0.008409014463504878,0.9991823385118561,0.9730061349693252,0.8757464212678937,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,0,ablation_hard,1.0,0.008409014463504878,0.9991823385118561,0.972842535787321,0.8755828220858896,0.9242535787321063
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,0,Confident-Learning,1.0,0.008409014463504878,1.0,0.9997546012269939,0.8758282208588957,0.9252351738241309
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,0,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9731697341513292,0.8759100204498977,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,0,CoLD,1.0,0.008409014463504878,1.0,0.9731697341513292,0.8759100204498977,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,0,ablation_hard,1.0,0.008409014463504878,1.0,0.9729243353783231,0.8756646216768916,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,0,Confident-Learning,1.0,0.008409014463504878,1.0,0.9762781186094069,0.8755828220858896,0.9242535787321063
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,1,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9919836400817996,0.8758282208588957,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,1,CoLD,1.0,0.008409014463504878,1.0,0.9919836400817996,0.8758282208588957,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,1,ablation_hard,1.0,0.008409014463504878,1.0,0.9919018404907975,0.8757464212678937,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,1,Confident-Learning,1.0,0.008409014463504878,1.0,0.9730061349693252,0.8755828220858896,0.9242535787321063
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,1,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9956646216768916,0.8759100204498977,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,1,CoLD,1.0,0.008409014463504878,1.0,0.989038854805726,0.8759918200408998,0.9246625766871166
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,1,ablation_hard,1.0,0.008409014463504878,1.0,0.9957464212678937,0.8761554192229039,0.9248261758691206
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,1,Confident-Learning,1.0,0.008409014463504878,0.9991823385118561,0.9962372188139059,0.8758282208588957,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,1,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9949284253578732,0.8758282208588957,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,1,CoLD,1.0,0.008409014463504878,1.0,0.9949284253578732,0.8757464212678937,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,1,ablation_hard,1.0,0.008409014463504878,1.0,0.9949284253578732,0.8758282208588957,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,1,Confident-Learning,1.0,0.008409014463504878,1.0,0.9999182004089979,0.8756646216768916,0.9253987730061349
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,1,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9892024539877301,0.8757464212678937,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,1,CoLD,1.0,0.008409014463504878,1.0,0.9811042944785276,0.8757464212678937,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,1,ablation_hard,1.0,0.008409014463504878,1.0,0.9894478527607362,0.8760736196319019,0.9247443762781186
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,1,Confident-Learning,1.0,0.008409014463504878,1.0,0.9918200408997955,0.8755010224948875,0.9241717791411043
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,2,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9923926380368098,0.8757464212678937,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,2,CoLD,1.0,0.008409014463504878,1.0,0.9729243353783231,0.8755828220858896,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,2,ablation_hard,1.0,0.008409014463504878,1.0,0.9923926380368098,0.8756646216768916,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,clean,0.0,none,2,Confident-Learning,1.0,0.008409014463504878,1.0,0.9732515337423313,0.8755010224948875,0.9242535787321063
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,2,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9730879345603272,0.8757464212678937,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,2,CoLD,1.0,0.008409014463504878,1.0,0.9955828220858896,0.8755828220858896,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,2,ablation_hard,1.0,0.008409014463504878,1.0,0.9759509202453988,0.8756646216768916,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,symmetric,0.4,none,2,Confident-Learning,1.0,0.008409014463504878,1.0,0.9983640081799591,0.8755010224948875,0.9241717791411043
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,2,Graph-CoLD,1.0,0.008409014463504878,1.0,0.9729243353783231,0.8756646216768916,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,2,CoLD,1.0,0.008409014463504878,1.0,0.9903476482617587,0.8756646216768916,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,2,ablation_hard,1.0,0.008409014463504878,1.0,0.972842535787321,0.8755828220858896,0.9242535787321063
cesnet_tls_year22,CESNET-TLS-Year22,asymmetric,0.4,none,2,Confident-Learning,1.0,0.008409014463504878,1.0,0.9995092024539878,0.8755828220858896,0.9244171779141104
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,2,Graph-CoLD,1.0,0.008409014463504878,0.9991823385118561,0.9729243353783231,0.8756646216768916,0.9243353783231084
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,2,CoLD,1.0,0.008409014463504878,1.0,0.9730879345603272,0.8758282208588957,0.9244989775051125
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,2,ablation_hard,1.0,0.008409014463504878,0.9991823385118561,0.9880572597137014,0.8759100204498977,0.9245807770961145
cesnet_tls_year22,CESNET-TLS-Year22,graph_consistency,0.4,0.6,2,Confident-Learning,1.0,0.008409014463504878,1.0,0.998118609406953,0.8755010224948875,0.9241717791411043
