protocol_id,reported_as,noise_type,noise_rate,graph_beta,method,macro_f1_mean,macro_f1_std,fnr_mean,err_tail_mean,err_final_mean,retained_fraction_mean,retained_clean_informative_mean,seeds,cold_macro_f1_mean,macro_f1_delta_vs_cold
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.1,none,Co-Teaching,0.9363493829966264,0.015375826469021891,0.03168893456663233,0.8131733085915299,0.8161367160337516,0.8422222222222221,0.8135414831688034,3,0.9287434756352212,0.007605907361405206
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.1,none,CoLD,0.9287434756352212,0.006112635008366587,0.044193216855087335,0.9105759935572552,0.9073725192836722,0.9297777777777778,0.9350043204089028,3,0.9287434756352212,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.1,none,Graph-CoLD,0.9303765768566029,0.008977290831101973,0.04436450839328534,0.9647645665375348,0.960781666702546,0.9397777777777777,0.9678669728698731,3,0.9287434756352212,0.0016331012213817164
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.1,none,MCRe,0.8906879024816359,0.004126424378156826,0.09018499486125382,0.8997909961300432,0.8899383517072267,0.9057777777777778,0.9050483465361655,3,0.9287434756352212,-0.03805557315358532
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.1,none,MORSE,0.8895233487713371,0.009692161294369159,0.09343953408701607,0.9807627939372049,0.9768759348474818,0.9899999999999999,0.9802073369721281,3,0.9287434756352212,-0.0392201268638841
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.2,none,Co-Teaching,0.905303915233261,0.0246948041089485,0.0650907845152449,0.7138312493793109,0.7157442278731431,0.7233333333333333,0.6952582433701928,3,0.8691651155403579,0.03613879969290312
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.2,none,CoLD,0.8691651155403579,0.014938172411512391,0.1364337101747173,0.9042249852474251,0.9002345752217552,0.931111111111111,0.9281602060182813,3,0.8691651155403579,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.2,none,Graph-CoLD,0.8719086082897891,0.017658261832221096,0.13677629325111337,0.9635911467235504,0.9583492246457949,0.9411111111111111,0.9659161012439764,3,0.8691651155403579,0.002743492749431198
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.2,none,MCRe,0.819937157379548,0.01780944865728298,0.2137718396711202,0.795126666809899,0.7843092834435498,0.8064444444444444,0.8067672139302599,3,0.8691651155403579,-0.04922795816080994
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.2,none,MORSE,0.8063219628576029,0.021775271590076795,0.2073484069886947,0.9799687702272677,0.9748878607301891,0.9837777777777778,0.9781374764370149,3,0.8691651155403579,-0.06284315268275498
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.4,none,Co-Teaching,0.8258807896679582,0.027577683281013725,0.09737923946557032,0.6858169065501847,0.6880640802422159,0.49444444444444446,0.6941731393132516,3,0.6382210394606617,0.18765975020729653
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.4,none,CoLD,0.6382210394606617,0.014325155099398627,0.4415895854744775,0.8676812699348958,0.8649353303838861,0.9551111111111111,0.8930072335436269,3,0.6382210394606617,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.4,none,Graph-CoLD,0.6700288168505603,0.012387510569179935,0.42591640972935935,0.9458940007046314,0.9423616783333343,0.9651111111111111,0.9484544364003696,3,0.6382210394606617,0.031807777389898595
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.4,none,MCRe,0.6393675313997699,0.0070960653045735326,0.4360226104830421,0.5999067256927989,0.5943451502692997,0.606,0.6061479215880871,3,0.6382210394606617,0.0011464919391082073
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.4,none,MORSE,0.6563989680065175,0.006905557875801991,0.3782117163412127,0.9133565633063716,0.9129337379537947,0.9480000000000001,0.9231239788941369,3,0.6382210394606617,0.01817792854585587
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.6,none,Co-Teaching,0.7895506407147755,0.02836040493536301,0.18199725933538882,0.787854752884661,0.7878668117605608,0.3291111111111111,0.7941953771616984,3,0.35885175120347484,0.4306988895113007
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.6,none,CoLD,0.35885175120347484,0.005112367397285007,0.7481157930798218,0.7470366468301224,0.7405530031480305,0.9471111111111111,0.7800493835467929,3,0.35885175120347484,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.6,none,Graph-CoLD,0.36089507501498735,0.00914639360385958,0.750171291538198,0.8544505175273063,0.8485802194405293,0.9571111111111111,0.8581747340167029,3,0.35885175120347484,0.0020433238115125096
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.6,none,MCRe,0.561522287186846,0.012613106815290712,0.5034258307639603,0.42725649879477473,0.41788636013148545,0.4066666666666667,0.41789050759258006,3,0.35885175120347484,0.2026705359833712
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,asymmetric,0.6,none,MORSE,0.556290901424766,0.050530740944409465,0.40150736553614247,0.7655070080509311,0.7488564725678927,0.8306666666666667,0.7470498844851177,3,0.35885175120347484,0.19743915022129116
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,clean,0.0,none,Co-Teaching,0.9739431604366228,0.003840859334551293,0.0011990407673860665,1.0,1.0,1.0,1.0,3,0.9663207842392847,0.007622376197338077
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,clean,0.0,none,CoLD,0.9663207842392847,0.002235073475070329,0.0012846865364850666,1.0,1.0,0.9733333333333333,0.9733333333333333,3,0.9663207842392847,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,clean,0.0,none,Graph-CoLD,0.9682614706241731,0.0033418822505440968,0.0011990407673860334,1.0,1.0,0.9833333333333334,0.9833333333333334,3,0.9663207842392847,0.0019406863848884237
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,clean,0.0,none,MCRe,0.9732716242303798,0.005218938643381723,0.0011990407673860334,1.0,1.0,1.0,1.0,3,0.9663207842392847,0.006950839991095137
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,clean,0.0,none,MORSE,0.9677796306638836,0.0057813816995236945,0.0022267899965741334,1.0,1.0,1.0,1.0,3,0.9663207842392847,0.0014588464245989252
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.0,Co-Teaching,0.9440172133016116,0.01357543293788299,0.0023124357656731337,0.8421732060933094,0.8416031702487778,0.8533333333333334,0.8443959265159776,3,0.9561389468099389,-0.012121733508327348
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.0,CoLD,0.9561389468099389,0.009424765569014684,0.003854059609455233,0.9089999802555865,0.9065200367660697,0.8793333333333333,0.9392949557053839,3,0.9561389468099389,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.0,Graph-CoLD,0.9675510588834232,0.002269533574061938,0.0011990407673860334,0.9667604160051498,0.9626060137099643,0.8886666666666668,0.9705261384005635,3,0.9561389468099389,0.011412112073484248
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.0,MCRe,0.9432840045150699,0.0136120177296223,0.0026550188420691335,0.9897925767712508,0.9829662688053927,0.907111111111111,0.9842732003744704,3,0.9561389468099389,-0.012854942294869054
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.0,MORSE,0.940241375491301,0.01142973731935668,0.002569373072970133,0.9982878292931731,0.9956021472649789,0.9902222222222221,0.9976579929581187,3,0.9561389468099389,-0.015897571318637893
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.6,Co-Teaching,0.909950459196348,0.0024687482804030478,0.003168893456663167,0.7814704156973314,0.7865225130035732,0.8411111111111111,0.7881495528386989,3,0.9197158607986756,-0.009765401602327639
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.6,CoLD,0.9197158607986756,0.0117703224538478,0.0023124357656731337,0.9320481492568412,0.9309975199799854,0.939111111111111,0.9589651610304282,3,0.9197158607986756,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.6,Graph-CoLD,0.9221202688839681,0.008883076168659252,0.002826310380267167,0.9836649851591271,0.9817385440620571,0.9491111111111111,0.9860770675425033,3,0.9197158607986756,0.00240440808529252
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.6,MCRe,0.9181343429646794,0.013377999110291859,0.0035114765330592334,0.965506562337672,0.9581965461166083,0.9066666666666666,0.9661903735964529,3,0.9197158607986756,-0.0015815178339961822
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.1,0.6,MORSE,0.9117395019603357,0.007944805041248748,0.0033401849948611665,0.9965122477237004,0.9943273502503134,0.9948888888888888,0.9960531155698651,3,0.9197158607986756,-0.007976358838339914
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.0,Co-Teaching,0.8965004001230003,0.007164655652676067,0.004110996916752233,0.7357905235875536,0.7363770716184451,0.7115555555555556,0.7446418064662681,3,0.9544152700726096,-0.05791486994960937
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.0,CoLD,0.9544152700726096,0.0041975457001279005,0.0014559780746830665,0.9082935553223734,0.9037054255796059,0.7875555555555556,0.9330803467496439,3,0.9544152700726096,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.0,Graph-CoLD,0.9526847847135698,0.008604120275916479,0.0011133949982870333,0.9613440617913808,0.9555831492357565,0.7957777777777778,0.9645517726614191,3,0.9544152700726096,-0.0017304853590398572
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.0,MCRe,0.9052780039150482,0.01415188820118217,0.0027406646111681667,1.0,0.9908207907186122,0.8071111111111112,0.9891648022598272,3,0.9544152700726096,-0.04913726615756142
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.0,MORSE,0.9024037337700784,0.019288953311763717,0.0023124357656731332,1.0,0.9967543106009433,0.9739999999999999,0.9974766255843605,3,0.9544152700726096,-0.05201153630253119
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.6,Co-Teaching,0.8368403466613401,0.022033925795419226,0.0065947242206234324,0.742560360756093,0.7476445286196265,0.7197777777777778,0.7453989565725152,3,0.8664621347288138,-0.02962178806747373
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.6,CoLD,0.8664621347288138,0.0029775439144085294,0.0058239122987324005,0.9410414966230971,0.9393588887257155,0.902,0.9639388316054859,3,0.8664621347288138,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.6,Graph-CoLD,0.8678114116945714,0.005698530859379104,0.0045392257622473,0.9897016182785509,0.9874850417746966,0.9113333333333333,0.991221726004173,3,0.8664621347288138,0.0013492769657575954
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.6,MCRe,0.8534636381559487,0.014962369141814301,0.005738266529633366,0.9294010886306457,0.919229896104283,0.8055555555555557,0.9237559329047027,3,0.8664621347288138,-0.012998496572865115
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.2,0.6,MORSE,0.8582725744508967,0.005251228881936913,0.005738266529633366,0.9877720713969201,0.9843212297537431,0.9875555555555556,0.9900629314482741,3,0.8664621347288138,-0.008189560277917174
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.0,Co-Teaching,0.8049925240675764,0.06782975362150256,0.0065947242206234324,0.6568042114294986,0.6553530717889807,0.484,0.6521464607062984,3,0.8990260197124611,-0.09403349564488472
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.0,CoLD,0.8990260197124611,0.010210682704234813,0.0005995203836930001,0.8735428477152474,0.8704947530091367,0.6188888888888889,0.9131610495657151,3,0.8990260197124611,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.0,Graph-CoLD,0.8966360748574688,0.013220337881923639,0.0013703323055840333,0.9356269913242089,0.9320903223038638,0.6255555555555555,0.9471666146564727,3,0.8990260197124611,-0.002389944854992332
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.0,MCRe,0.8602734021832709,0.00999993350870752,0.0089071599862966,0.9914881472737463,0.9791557161130031,0.6064444444444445,0.9762154782337339,3,0.8990260197124611,-0.038752617529190236
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.0,MORSE,0.819895909429588,0.022491956090417417,0.0094210346008907,0.9938380344188097,0.988289680877863,0.9342222222222222,0.9929229729026888,3,0.8990260197124611,-0.07913011028287309
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.6,Co-Teaching,0.6556773880683605,0.024718170536526536,0.012076053442959834,0.5581775204299481,0.5975699694867515,0.4671111111111111,0.6038822870115168,3,0.7280737289534597,-0.07239634088509916
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.6,CoLD,0.7280737289534597,0.026911775915678178,0.013532031517642968,0.953293165374237,0.9585450091935944,0.8215555555555555,0.9777869926113562,3,0.7280737289534597,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.6,Graph-CoLD,0.7290043125934004,0.02450240898164896,0.013360739979444966,0.9827216385289513,0.9854035887863303,0.8302222222222223,0.9894762468884286,3,0.7280737289534597,0.0009305836399406964
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.6,MCRe,0.7749354337160085,0.021937264326176237,0.0125899280575539,0.8884339684453034,0.8627192317288381,0.6073333333333334,0.8481286500944897,3,0.7280737289534597,0.046861704762548806
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.4,0.6,MORSE,0.7641158473847499,0.030438932192760417,0.0097636176772867,0.9785004709119828,0.9756064782237748,0.9591111111111111,0.9782365287521588,3,0.7280737289534597,0.03604211843129024
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.0,Co-Teaching,0.6163505717406245,0.05443250340293241,0.019355943816375433,0.4532118702277724,0.44395936120019647,0.3028888888888888,0.43795312042156365,3,0.7856659845070878,-0.16931541276646334
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.0,CoLD,0.7856659845070878,0.015219133685752933,0.008393285371702567,0.835097333990587,0.8280174425553873,0.46422222222222215,0.8716948164353494,3,0.7856659845070878,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.0,Graph-CoLD,0.7934689833321941,0.00675298492188324,0.0085645769099006,0.895021468613403,0.886927406614527,0.4691111111111111,0.8985468738624419,3,0.7856659845070878,0.0078029988251062665
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.0,MCRe,0.7982774442760224,0.013814647539456252,0.015159301130524133,0.9692811287066886,0.9351867396563005,0.40644444444444444,0.9295378528197603,3,0.7856659845070878,0.01261145976893463
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.0,MORSE,0.7464060788147768,0.017515059225837404,0.016529633436108235,0.9919204547330708,0.9790345960275979,0.9162222222222222,0.9834841453354777,3,0.7856659845070878,-0.03925990569231097
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.6,Co-Teaching,0.5861595396940644,0.047602042860468485,0.014474134977732034,0.4487318164388861,0.47235033298952245,0.3062222222222222,0.4853050892619238,3,0.6632335680319028,-0.07707402833783839
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.6,CoLD,0.6632335680319028,0.04085625477986581,0.017043508050702233,0.9208393630185873,0.9305190549595412,0.6588888888888889,0.946716671458617,3,0.6632335680319028,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.6,Graph-CoLD,0.6655659534960928,0.03933354075494,0.017386091127098265,0.94154961479408,0.948693861776551,0.6657777777777777,0.9533440967910782,3,0.6632335680319028,0.002332385464190012
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.6,MCRe,0.7287604010206811,0.03775060349159541,0.014474134977732034,0.8199031073015233,0.7861653373514518,0.40644444444444444,0.7666856238329495,3,0.6632335680319028,0.06552683298877826
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,graph_consistency,0.6,0.6,MORSE,0.7060996150729858,0.035071273635673784,0.0122473449811579,0.9853171744698267,0.9684910246255414,0.9526666666666667,0.9533473089775873,3,0.6632335680319028,0.04286604704108299
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.1,none,Co-Teaching,0.9440172133016116,0.01357543293788299,0.0023124357656731337,0.8421732060933094,0.8416031702487778,0.8533333333333334,0.8443959265159776,3,0.9561389468099389,-0.012121733508327348
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.1,none,CoLD,0.9561389468099389,0.009424765569014684,0.003854059609455233,0.9089999802555865,0.9065200367660697,0.8793333333333333,0.9392949557053839,3,0.9561389468099389,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.1,none,Graph-CoLD,0.9675510588834232,0.002269533574061938,0.0011990407673860334,0.9667604160051498,0.9626060137099643,0.8886666666666668,0.9705261384005635,3,0.9561389468099389,0.011412112073484248
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.1,none,MCRe,0.9432840045150699,0.0136120177296223,0.0026550188420691335,0.9897925767712508,0.9829662688053927,0.907111111111111,0.9842732003744704,3,0.9561389468099389,-0.012854942294869054
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.1,none,MORSE,0.940241375491301,0.01142973731935668,0.002569373072970133,0.9982878292931731,0.9956021472649789,0.9902222222222221,0.9976579929581187,3,0.9561389468099389,-0.015897571318637893
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.2,none,Co-Teaching,0.8965004001230003,0.007164655652676067,0.004110996916752233,0.7357905235875536,0.7363770716184451,0.7115555555555556,0.7446418064662681,3,0.9544152700726096,-0.05791486994960937
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.2,none,CoLD,0.9544152700726096,0.0041975457001279005,0.0014559780746830665,0.9082935553223734,0.9037054255796059,0.7875555555555556,0.9330803467496439,3,0.9544152700726096,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.2,none,Graph-CoLD,0.9526847847135698,0.008604120275916479,0.0011133949982870333,0.9613440617913808,0.9555831492357565,0.7957777777777778,0.9645517726614191,3,0.9544152700726096,-0.0017304853590398572
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.2,none,MCRe,0.9052780039150482,0.01415188820118217,0.0027406646111681667,1.0,0.9908207907186122,0.8071111111111112,0.9891648022598272,3,0.9544152700726096,-0.04913726615756142
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.2,none,MORSE,0.9024037337700784,0.019288953311763717,0.0023124357656731332,1.0,0.9967543106009433,0.9739999999999999,0.9974766255843605,3,0.9544152700726096,-0.05201153630253119
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.4,none,Co-Teaching,0.8049925240675764,0.06782975362150256,0.0065947242206234324,0.6568042114294986,0.6553530717889807,0.484,0.6521464607062984,3,0.8990260197124611,-0.09403349564488472
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.4,none,CoLD,0.8990260197124611,0.010210682704234813,0.0005995203836930001,0.8735428477152474,0.8704947530091367,0.6188888888888889,0.9131610495657151,3,0.8990260197124611,0.0
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.4,none,Graph-CoLD,0.8966360748574688,0.013220337881923639,0.0013703323055840333,0.9356269913242089,0.9320903223038638,0.6255555555555555,0.9471666146564727,3,0.8990260197124611,-0.002389944854992332
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.4,none,MCRe,0.8602734021832709,0.00999993350870752,0.0089071599862966,0.9914881472737463,0.9791557161130031,0.6064444444444445,0.9762154782337339,3,0.8990260197124611,-0.038752617529190236
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.4,none,MORSE,0.819895909429588,0.022491956090417417,0.0094210346008907,0.9938380344188097,0.988289680877863,0.9342222222222222,0.9929229729026888,3,0.8990260197124611,-0.07913011028287309
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.6,none,Co-Teaching,0.6163505717406245,0.05443250340293241,0.019355943816375433,0.4532118702277724,0.44395936120019647,0.3028888888888888,0.43795312042156365,3,0.7856659845070878,-0.16931541276646334
p2_canonical_scenario_mean_v1,CESNET-TLS-Year22,symmetric,0.6,none,CoLD,0.7856659845070878,0.015219133685752933,0.008393285371702567,0.835097333990587,0.8280174425553873,0.46422222222222215,0.8716948164353494,3,0.7856659845070878,0.0
